City ID,City,Country,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed
3936456,Lima,PE,-12.0432,-77.0282,62.89,88,90,8.05
5546220,Saint George,US,37.1041,-113.5841,92.05,4,1,12.66
5965462,Gravelbourg,CA,49.8834,-106.5512,64.67,50,12,8.79
3985710,Cabo San Lucas,MX,22.8909,-109.9124,84.74,48,1,11.5
6144312,Sept-Îles,CA,50.2001,-66.3821,52.0,75,75,3.0
1706362,Limay,PH,14.5333,120.55,84.22,70,96,6.22
2512186,Puerto del Rosario,ES,28.5004,-13.8627,69.55,83,0,10.36
1238427,Kuliyapitiya,LK,7.4688,80.0401,83.88,82,100,7.36
2026786,Berezovyy,RU,51.6667,135.7,62.96,72,100,7.14
1488903,Turukhansk,RU,65.8167,87.9833,49.95,75,100,16.13
575413,Bokovskaya,RU,49.229,41.8306,62.26,86,0,7.0
3868707,Valdivia,CL,-39.8142,-73.2459,55.49,99,99,2.28
3385935,Tucuruí,BR,-3.7661,-49.6725,72.99,95,99,2.64
2936253,Donauwörth,DE,48.7,10.8,56.98,90,72,4.14
3471196,Bagé,BR,-31.3314,-54.1069,46.18,66,0,6.91
3687238,Cartagena,CO,10.3997,-75.5144,83.82,84,40,5.75
2240449,Luanda,AO,-8.8368,13.2343,72.23,93,7,2.06
1270818,Gudāri,IN,19.35,83.7833,86.09,65,71,3.71
5313667,Sedona,US,34.8697,-111.761,85.44,8,1,9.22
1516589,Zhezkazgan,KZ,47.8043,67.7144,69.24,28,8,19.48
1855342,Nishihara,JP,26.1842,127.7558,83.93,81,75,6.91
1633419,Padang,ID,-0.9492,100.3543,84.47,57,60,2.26
2027296,Aykhal,RU,66.0,111.5,48.16,47,85,22.17
1267454,Mahuva,IN,21.0914,71.7622,86.63,72,5,10.36
2446796,Bilma,NE,18.6853,12.9164,87.87,16,15,10.89
57000,Hobyo,SO,5.3505,48.5268,77.02,84,79,22.08
2159220,Mackay,AU,-21.15,149.2,72.03,56,23,10.36
3910758,Mapiri,BO,-15.25,-68.1667,60.98,99,100,0.4
6137462,Saint-Augustin,CA,51.226,-58.6502,48.09,56,69,6.38
925789,Mulanje,MW,-16.0316,35.5,55.81,83,0,3.51
102527,Sakakah,SA,29.9697,40.2064,78.37,24,0,6.64
1496503,Noyabrsk,RU,63.1994,75.4507,55.47,77,100,12.1
347634,Ţahţā,EG,26.7693,31.5021,82.72,21,0,0.96
417594,Shahreza,IR,32.0339,51.8794,79.95,12,0,3.24
5861897,Fairbanks,US,64.8378,-147.7164,64.2,46,1,5.75
3625929,Tucupita,VE,9.0622,-62.051,72.57,95,16,4.7
2023298,Kalanguy,RU,51.0167,116.5167,72.75,38,100,6.71
1789647,Xichang,CN,27.8964,102.2634,73.83,78,89,3.02
1062663,Mahajanga,MG,-15.7167,46.3167,69.82,88,20,2.3
4972220,Millinocket,US,45.6573,-68.7098,54.86,75,75,4.61
3899695,Ancud,CL,-41.8697,-73.8203,54.93,95,100,21.47
3628473,San Cristobal,VE,7.7669,-72.225,75.38,97,16,4.09
1631637,Pemangkat,ID,1.1667,108.9667,79.48,75,99,4.03
2063036,Port Lincoln,AU,-34.7333,135.8667,58.17,58,100,6.62
3616726,San Juan del Sur,NI,11.2529,-85.8705,80.24,79,49,5.68
1861280,Itoman,JP,26.1247,127.6694,84.34,82,40,6.91
2460954,Araouane,ML,18.9048,-3.5265,85.75,41,43,18.16
1283711,Bāglung,NP,28.2719,83.5898,70.23,91,100,3.18
5924351,Clyde River,CA,70.4692,-68.5914,37.63,81,1,14.97
1259939,Pehowa,IN,29.9833,76.5833,95.38,38,3,13.09
368246,Raja,SS,8.4596,25.678,75.11,54,76,1.43
2138555,Poum,NC,-20.2333,164.0167,76.39,75,100,12.93
117392,Saqqez,IR,36.2499,46.2735,64.67,29,0,3.02
1896348,Hikari,JP,33.955,131.95,73.31,92,100,5.37
1649150,Bengkulu,ID,-3.8004,102.2655,82.85,66,53,2.59
3576994,Cockburn Town,TC,21.4612,-71.1419,80.24,78,39,17.65
3670218,San Andrés,CO,12.5847,-81.7006,80.62,89,40,6.91
3860443,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,55,0,20.71
1863418,Hagi,JP,34.4,131.4167,78.89,80,99,18.16
2111495,Ōhara,JP,35.25,140.3833,79.66,66,100,10.85
3939168,Huarmey,PE,-10.0681,-78.1522,65.35,87,11,7.9
2027042,Batagay-Alyta,RU,67.8006,130.4114,57.65,35,40,23.73
1525798,Balkhash,KZ,46.844,74.9804,65.01,27,0,22.37
5364271,Laguna,US,38.421,-121.4238,75.74,38,1,5.99
4809537,Huntington,US,38.4193,-82.4452,72.73,98,75,0.0
1697294,Odiongan,PH,12.4017,121.9919,83.57,74,100,3.76
3466165,Cidreira,BR,-30.1811,-50.2056,53.13,66,64,12.53
5855051,‘Ewa Beach,US,21.3156,-158.0072,81.52,60,20,13.0
4500920,Brigantine,US,39.4101,-74.3646,63.63,94,90,6.91
3598787,Champerico,GT,14.3,-91.9167,82.11,82,100,7.27
1185272,Kālia,BD,23.0396,89.6328,84.97,75,91,12.5
139817,Bushehr,IR,28.9684,50.8385,86.09,51,0,18.41
4787534,Sterling,US,39.0062,-77.4286,65.21,97,90,8.99
